batter,Matches,Total Runs,Balls Faced,Wickets,Strike Rate,Runs scored per wicket
RM Patidar,2,170,102,1,166.66666666666669,170.0
DA Miller,5,147,90,1,163.33333333333334,147.0
JC Buttler,3,234,155,2,150.96774193548387,117.0
Ishan Kishan,3,111,77,1,144.15584415584414,111.0
MS Bisla,1,89,52,1,171.15384615384613,89.0
KS Williamson,5,216,184,4,117.3913043478261,54.0
YK Pathan,7,198,133,4,148.87218045112783,49.5
DPMD Jayawardene,2,95,76,2,125.0,47.5
Shubman Gill,6,234,194,5,120.61855670103093,46.8
SK Raina,17,599,381,13,157.21784776902888,46.07692307692308
M Vijay,7,322,211,7,152.60663507109004,46.0
AB de Villiers,9,268,188,6,142.5531914893617,44.666666666666664
SR Tendulkar,2,88,74,2,118.91891891891892,44.0
VR Iyer,3,131,106,3,123.58490566037736,43.666666666666664
LMP Simmons,6,211,171,5,123.39181286549707,42.2
RR Pant,6,167,118,4,141.52542372881356,41.75
JH Kallis,3,114,100,3,113.99999999999999,38.0
DA Warner,7,228,169,6,134.9112426035503,38.0
MEK Hussey,10,339,278,9,121.94244604316546,37.666666666666664
M Vohra,4,146,116,4,125.86206896551724,36.5
MS Dhoni,15,358,267,10,134.0823970037453,35.8
CH Gayle,7,250,190,7,131.57894736842107,35.714285714285715
SR Watson,8,277,185,8,149.72972972972974,34.625
RD Gaikwad,2,102,77,3,132.46753246753246,34.0
PP Shaw,4,134,88,4,152.27272727272728,33.5
MK Pandey,6,194,158,6,122.78481012658229,32.333333333333336
DR Smith,10,313,220,10,142.27272727272725,31.3
KL Rahul,3,90,69,3,130.43478260869566,30.0
SO Hetmyer,7,118,87,4,135.63218390804596,29.5
AJ Finch,3,86,69,3,124.63768115942028,28.666666666666668
AM Rahane,8,229,210,8,109.04761904761904,28.625
V Sehwag,5,142,90,5,157.77777777777777,28.4
MA Agarwal,3,85,75,3,113.33333333333333,28.333333333333332
SA Yadav,6,141,121,5,116.5289256198347,28.2
WP Saha,6,169,111,6,152.25225225225225,28.166666666666668
MP Stoinis,5,130,112,5,116.07142857142858,26.0
KH Pandya,7,128,102,5,125.49019607843137,25.6
G Gambhir,6,102,79,4,129.1139240506329,25.5
V Kohli,12,275,237,11,116.03375527426161,25.0
Q de Kock,4,95,61,4,155.7377049180328,23.75
RV Uthappa,8,163,124,7,131.4516129032258,23.285714285714285
SS Iyer,6,137,126,6,108.73015873015872,22.833333333333332
F du Plessis,11,250,199,11,125.6281407035176,22.727272727272727
KA Pollard,14,289,169,13,171.00591715976333,22.23076923076923
HH Pandya,9,155,115,7,134.7826086956522,22.142857142857142
KD Karthik,13,256,235,12,108.93617021276596,21.333333333333332
SV Samson,7,149,127,7,117.32283464566929,21.285714285714285
DJ Bravo,9,126,86,6,146.51162790697674,21.0
S Dhawan,12,251,246,12,102.03252032520325,20.916666666666668
RG Sharma,14,272,238,15,114.28571428571428,18.133333333333333
PA Patel,7,144,122,8,118.0327868852459,18.0
AT Rayudu,14,174,172,10,101.16279069767442,17.4
RA Jadeja,8,84,73,6,115.06849315068493,14.0
BB McCullum,5,89,99,7,89.8989898989899,12.714285714285714
