bowler,total_run,wickets_taken,extras_given,balls_bowled,overs_bowled,Economy Rate,Weighted Score
SL Malinga,3486,188,292,2974,495,7.042424242424242,122.57711837407712
DJ Bravo,4436,207,258,3296,549,8.080145719489982,119.47393042706075
JJ Bumrah,3499,161,201,2857,476,7.350840336134453,119.1159171438666
SP Narine,3907,171,152,3516,586,6.667235494880546,117.11350068191958
YS Chahal,3699,172,175,2940,490,7.548979591836734,115.06857768660905
B Kumar,4064,165,246,3384,564,7.205673758865248,114.89454058633285
A Mishra,4022,175,125,3317,552,7.286231884057971,114.63519892801291
A Nehra,2537,121,115,1974,329,7.711246200607903,114.37488636416936
R Ashwin,4596,174,209,4024,670,6.859701492537313,113.46336851190871
Harbhajan Singh,4101,161,173,3496,582,7.046391752577319,113.41895517305495
Rashid Khan,2411,119,103,2232,372,6.481182795698925,113.0301418951079
PP Chawla,4368,165,134,3309,551,7.927404718693285,110.50560882333838
UT Yadav,4041,153,250,2945,490,8.246938775510204,110.24365070965032
CH Morris,2377,107,157,1801,300,7.923333333333333,110.19809013653749
DW Steyn,2583,105,177,2282,380,6.7973684210526315,109.47725771274081
JA Morkel,2409,96,153,1807,301,8.003322259136212,108.89916638652775
R Vinay Kumar,3041,127,116,2186,364,8.354395604395604,108.71263854531378
RP Singh,2417,100,181,1874,312,7.746794871794871,107.94521572458405
SR Watson,2742,107,171,2137,356,7.702247191011236,107.81992431801308
Z Khan,2860,119,169,2276,379,7.546174142480211,106.69399194437395
TA Boult,2522,99,110,1860,310,8.135483870967741,106.63478786676113
PP Ojha,2399,99,138,1945,324,7.404320987654321,105.73580558250961
Mohammed Shami,2954,116,171,2118,353,8.36827195467422,105.47758204356468
RA Jadeja,4114,141,123,3262,543,7.5764272559852675,105.46151035941394
IK Pathan,2711,99,142,2113,352,7.701704545454546,104.4209669326314
